ecoregion,percent_trend_fit_px,percent_significant_valid_px,percent_positive_valid_px,percent_negative_valid_px,trend_asymmetry_ratio,positive_sig_trend_mean,negative_sig_trend_mean,all_sig_trend_mean,net_area_percent
40115,25.29454829420665,1.9692517936453706,1.3441358777880814,0.6251159158572893,2.1502186133666457,1.8440874682325126,-1.4931388932514817,0.9821684218947304,0.7190199619307921
40166,31.16883116883117,5.194805194805195,1.2987012987012987,3.896103896103896,0.3333333333333333,10.206705729166666,-3.9855199599997255,-0.43746353770812707,-2.5974025974025974
40301,52.71572808983349,4.3256464011180995,3.4253837441866066,0.9002626569314923,3.8048715203426124,1.613539144748192,-1.6849800434792113,0.918162054055184,2.525121087255114
40401,62.01717667436489,4.419024249422633,2.8579676674364896,1.5610565819861433,1.8307905686546464,1.9265944108486677,-1.8091815220582248,0.21035438769797513,0.0
40403,16.049200268282423,1.048120317846465,0.7889322132163198,0.2591881046301454,3.043859649122807,1.1094761375379911,-0.9898180935160535,0.3850653043811708,0.5297441085861744
40501,25.98798574131937,1.691017911367337,1.1464155261189104,0.5446023852484266,2.105050505050505,2.4783418777298944,-2.243745318575447,-1.0662118944376193,0.6018131408704838
40502,80.78695274956958,5.178172467892094,3.99455165810306,1.1836208097890342,3.3748575769084694,1.2553348475702906,-1.4526932918049364,0.6974126338390373,2.810930848314026
40701,5.951700204083645,0.45499807747291204,0.3709491368346331,0.084048940638279,4.413489736070381,2.110871088458063,-1.9776819058914767,1.5724658311427238,0.2869001961963541
81003,12.058185611336908,0.7670731009216326,0.26141545976682506,0.5056576411548075,0.5169811320754717,2.087708812594712,-2.5724362719289675,-0.726815042320954,0.0
81021,19.053414878148963,1.2788626060573989,1.0704646996121832,0.20839790644521555,5.136638452237001,1.0749311590244843,-1.6805145847821383,0.5367423794474961,0.8620667931669677
